id,company_name,postcode,country,misc_info,company_alias,id_tilt,company_name_tilt,misc_info_tilt,company_alias_tilt,postcode_tilt,country_tilt,similarity,suggest_match,accept_match
1,Peasant Peter,01234,germany,A,peasantpeter,1,Peasant Peter,A,peasantpeter,NA,NA,1,NA,NA
1,Peasant Peter,01234,germany,A,peasantpeter,2,Peasant Peter,Z,peasantpeter,NA,NA,1,NA,NA
1,Peasant Peter,01234,germany,A,peasantpeter,4,Peasant Paul,B,peasantpaul,NA,NA,0.8787878787878788,NA,NA
2,Peasant Peter,01234,germany,Z,peasantpeter,1,Peasant Peter,A,peasantpeter,NA,NA,1,NA,NA
2,Peasant Peter,01234,germany,Z,peasantpeter,2,Peasant Peter,Z,peasantpeter,NA,NA,1,NA,NA
2,Peasant Peter,01234,germany,Z,peasantpeter,4,Peasant Paul,B,peasantpaul,NA,NA,0.8787878787878788,NA,NA
3,Peasant Peter,11234,germany,Z,peasantpeter,3,Peasant Peter,Z,peasantpeter,NA,NA,1,TRUE,NA
4,Peasant Paul,01234,germany,Z,peasantpaul,4,Peasant Paul,B,peasantpaul,NA,NA,1,TRUE,NA
4,Peasant Paul,01234,germany,Z,peasantpaul,1,Peasant Peter,A,peasantpeter,NA,NA,0.8787878787878788,NA,NA
4,Peasant Paul,01234,germany,Z,peasantpaul,2,Peasant Peter,Z,peasantpeter,NA,NA,0.8787878787878788,NA,NA
5,Bread Bakers Limited,23456,germany,C,breadbakers ltd,5,The Bread Bakers Ltd,C,thebreadbakers ltd,NA,NA,0.8444444444444443,NA,NA
6,Flower Power & Company,34567,germany,Z,flowerpower co,7,Flower Power and Co.,F,flowerpower co,NA,NA,1,TRUE,NA
6,Flower Power & Company,34567,germany,Z,flowerpower co,6,Flower Power Friends and Co.,D,flowerpowerfriends co,NA,NA,0.9333333333333333,NA,NA
7,Screwdriver Experts,45678,germany,D,screwdriverexperts,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Screwdriver Expert,45678,germany,Z,screwdriverexpert,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,John Meier's Groceries,56789,germany,E,johnmeiersgroceries,8,John and Jacques Groceries,E,johnjacquesgroceries,NA,NA,0.8478947368421053,NA,NA
10,John Meier's Groceries,55555,germany,Y,johnmeiersgroceries,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,John Meier's Groceries,55555,norway,Y,johnmeiersgroceries,NA,NA,NA,NA,NA,NA,NA,NA,NA
